posX,posY,posZ
2.718079,-6.926889,2.396218
2.726383,-6.946096,2.404584
2.734708,-6.965319,2.412959
2.743026,-6.984587,2.421286
2.751386,-7.003886,2.429626
2.759754,-7.023176,2.438038
2.768074,-7.042470,2.446498
2.776364,-7.061811,2.454899
2.784680,-7.081190,2.463234
2.793035,-7.100575,2.471582
2.801390,-7.119993,2.479930
2.809768,-7.139400,2.488248
2.818148,-7.158759,2.496485
2.826466,-7.178125,2.504686
2.834765,-7.197539,2.512932
2.843040,-7.216971,2.521193
2.851255,-7.236410,2.529441
2.859457,-7.255889,2.537653
2.867698,-7.275425,2.545869
2.876004,-7.294997,2.554137
2.884352,-7.314593,2.562412
2.892691,-7.334214,2.570716
2.901017,-7.353851,2.579059
2.909310,-7.373497,2.587422
2.917624,-7.393131,2.595790
2.925976,-7.412784,2.604215
2.934358,-7.432482,2.612780
2.942781,-7.452208,2.621415
2.951201,-7.471955,2.630065
2.959668,-7.491739,2.638679
2.968204,-7.511576,2.647262
2.976731,-7.531427,2.655832
2.985260,-7.551268,2.664356
2.993801,-7.571159,2.672856
3.002353,-7.591094,2.681358
3.010923,-7.611051,2.689903
3.019523,-7.630996,2.698433
3.028146,-7.650945,2.706950
3.036766,-7.670895,2.715475
3.045391,-7.690824,2.724026
3.053983,-7.710789,2.732615
3.062524,-7.730839,2.741167
3.071035,-7.750910,2.749757
3.079587,-7.770978,2.758403
3.088097,-7.791080,2.767036
3.096523,-7.811218,2.775691
3.104942,-7.831396,2.784424
3.113352,-7.851565,2.793254
3.121756,-7.871732,2.802139
3.130192,-7.891938,2.811039
3.138658,-7.912201,2.819935
3.147124,-7.932507,2.828803
3.155601,-7.952834,2.837648
3.164089,-7.973162,2.846570
3.172551,-7.993481,2.855554
3.180955,-8.013783,2.864491
3.189356,-8.034073,2.873418
3.197813,-8.054430,2.882382
3.206297,-8.074826,2.891399
3.214796,-8.095198,2.900440
3.223300,-8.115571,2.909486
3.231789,-8.135981,2.918507
3.240310,-8.156435,2.927462
3.248864,-8.176929,2.936446
3.257418,-8.197490,2.945559
3.265935,-8.218096,2.954745
3.274431,-8.238774,2.963953
3.282933,-8.259566,2.973135
3.291428,-8.280404,2.982327
3.299908,-8.301233,2.991499
3.308379,-8.322051,3.000582
3.316870,-8.342947,3.009658
3.325424,-8.363933,3.018770
3.334070,-8.384944,3.027994
3.342755,-8.405970,3.037281
3.351472,-8.427005,3.046516
3.360228,-8.448056,3.055752
3.368968,-8.469129,3.065046
3.377684,-8.490181,3.074323
3.386403,-8.511218,3.083607
3.395122,-8.532277,3.092961
3.403822,-8.553378,3.102396
3.412528,-8.574558,3.111895
3.421236,-8.595831,3.121428
3.429941,-8.617191,3.130977
3.438667,-8.638617,3.140448
3.447422,-8.660125,3.149858
3.456237,-8.681696,3.159301
3.465102,-8.703310,3.168808
3.473973,-8.724984,3.178393
3.482840,-8.746754,3.188092
3.491711,-8.768629,3.197879
3.500604,-8.790558,3.207703
3.509501,-8.812489,3.217598
3.518397,-8.834443,3.227593
3.527328,-8.856476,3.237643
3.536253,-8.878542,3.247711
3.545187,-8.900636,3.257830
3.554112,-8.922793,3.268034
